base_title,episodes,year,rating,genres,mood,complexity,pacing,target_audience,themes,setting,art_style,popularity_score
Frieren: Beyond Journey's End,28,2023,9.29,"['Fantasy', 'Drama', 'Adventure']",melancholic,medium,slow,mature,friendship_loss_immortality,medieval_fantasy,beautiful,95
Fullmetal Alchemist: Brotherhood,64,2009,9.1,"['Fantasy', 'Drama', 'Adventure', 'Action']",serious,high,medium,teen_adult,sacrifice_morality_family,steampunk_fantasy,detailed,98
Steins;Gate,24,2011,9.07,"['Drama', 'Sci-Fi', 'Suspense']",tense,very_high,slow_then_fast,mature,time_travel_consequences,modern_urban,realistic,92
Attack on Titan,89,2013,9.05,"['Drama', 'Action', 'Suspense', 'Horror']",intense,high,fast,mature,survival_freedom_war,post_apocalyptic,detailed,99
Hunter x Hunter,148,2011,9.03,"['Fantasy', 'Adventure', 'Action']",adventurous,medium,medium,teen,friendship_growth_power,fantasy_world,colorful,90
Legend of the Galactic Heroes,110,1988,9.02,"['Drama', 'Sci-Fi']",epic,very_high,slow,mature,politics_war_philosophy,space_opera,classic,85
Gintama,367,2006,9.0,"['Comedy', 'Action', 'Sci-Fi']",hilarious,low,episodic,teen_adult,parody_samurai_friendship,sci_fi_edo_japan,comedic,91
A Silent Voice,1,2016,8.93,"['Drama', 'Award Winning']",emotional,medium,slow,mature,bullying_redemption_disability,modern_school,realistic,93
Monster,74,2004,8.89,"['Drama', 'Mystery', 'Suspense']",psychological,very_high,slow,mature,human_nature_evil,realistic_europe,realistic,88
Your Name,1,2016,8.83,"['Drama', 'Romance', 'Award Winning']",romantic,medium,medium,teen_adult,love_fate_connection,modern_rural_urban,beautiful,98
One Piece,1100,1999,8.73,"['Fantasy', 'Adventure', 'Action']",adventurous,medium,medium,teen,friendship_dreams_freedom,pirate_fantasy,unique,100
Code Geass,50,2006,8.71,"['Drama', 'Sci-Fi', 'Action', 'Mecha']",strategic,high,fast,mature,rebellion_power_sacrifice,alternate_history,detailed,95
Cowboy Bebop,26,1998,8.75,"['Sci-Fi', 'Action', 'Award Winning']",melancholic,medium,episodic,mature,loneliness_past_redemption,space_western,stylish,92
Demon Slayer: Kimetsu no Yaiba,55,2019,8.7,"['Action', 'Supernatural']",heroic,low,fast,teen,family_revenge_duty,historical_japan,stunning,99
Jujutsu Kaisen,47,2020,8.65,"['Action', 'Supernatural']",dark_fun,medium,fast,teen,curses_friendship_sacrifice,modern_urban,modern,97
Vinland Saga,48,2019,8.6,"['Drama', 'Adventure', 'Action', 'Historical']",mature,high,slow,mature,war_revenge_pacifism,viking_historical,realistic,86
Death Note,37,2006,8.62,"['Suspense', 'Supernatural']",dark,high,fast,mature,justice_morality_power,modern_urban,gothic,96
Your Lie in April,22,2014,8.64,"['Drama', 'Romance']",bittersweet,medium,medium,teen,music_love_loss,modern_school,beautiful,94
Clannad: After Story,24,2008,9.04,"['Drama', 'Romance']",emotional,medium,slow,mature,family_love_life_death,modern_realistic,soft,89
